date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:54:28	302/302	---M-Z	200	added ('OK')	text/plain	date:Mon,%2002%20Mar%202020%2023:36:35%20GMT	http://nyccertifiedwelding.com/robots.txt		(from )
08:54:28	27235/27235	---M-Z	200	added ('OK')	text/html	etag:W/%22ae98bc08260e1a80155a5a5c675aa927--gzip%22	http://nyccertifiedwelding.com/	C:/My%20Web%20Sites/weld%20site/nyccertifiedwelding.com/index.html	(from )
08:54:30	22112/22112	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2016:54:34%20GMT	http://use.typekit.net/ik/m3Kz27yzYvySJhOCBmCN9VbKDvRanuW7s59vr0j26hJfel3ffFHN4UJLFRbh52jhWD9UjDbu5ewaZQsKwewujQqXFeIDwc9tws7BMAoojhF8S1sTZc88ZYi8desTdcS0jhNlOYiaiko0pAFRZW4X-AZTZAsaZAUq-Ao1OcFzdPUCdhFydeyzSabCZhmkjAUqOWi8-Ao8SKua-ACaO1FUiABkZWF3jAF8OcFzdP37Oci8ScBCZfuaZA80ZWJlih8nFkoDSWmyScmDSeBRZPoRdhXK2YgkdayTdAIldcNhjPG4fHCgIMMjMPMfH6qJnMIbMg6OJMJ7fbRKHyMMeMw6MKG4f5w7IMMj2PMfH6qJn3IbMg6IJMJ7fbK3MsMMeMt6MKG4fHXgIMMjgKMfH6qJn6IbMg6bJMJ7fbKOMsMMeMS6MKG4fJ3gIMMjIPMfH6qJ7bIbMg6JJMJ7fbK7MsMMegJ6MKG4fJqgIMMjfPMfH6qJK6IbMg6QJMHbMZW5GdMB.js	C:/My%20Web%20Sites/weld%20site/use.typekit.net/ik/m3Kz27yzYvySJhOCBmCN9VbKDvRanuW7s59vr0j26hJfel3ffFHN4UJLFRbh52jhWD9UjDbu5ewaZQsKwewujQqXFeIDwc9tws7BMAoojhF8S1sTZc88ZYi8desTdcS0jhNlOYiaiko0pAFRZW4X-AZTZAsaZAUq-Ao1OcFzdPUCdhFydeyzSabCZhmkjAU	(from http://nyccertifiedwelding.com/)
08:54:32	497842/497842	---M-Z	200	added ('OK')	text/css	date:Tue,%2003%20Mar%202020%2016:54:35%20GMT	http://static1.squarespace.com/static/sitecss/51c458c7e4b0c5a944a32e81/18/50521cf884aeb45fa5cfdb80/51c45ddee4b079ce7c203c83/950-05142015/1443391252112/site.css?&filterFeatures=true	C:/My%20Web%20Sites/weld%20site/static1.squarespace.com/static/sitecss/51c458c7e4b0c5a944a32e81/18/50521cf884aeb45fa5cfdb80/51c45ddee4b079ce7c203c83/950-05142015/1443391252112/site9661.css	(from http://nyccertifiedwelding.com/)
08:54:34	26483/26483	---M-Z	200	added ('OK')	text/html	etag:W/%224367f16266616a71120b070fbf2d2568--gzip%22	http://nyccertifiedwelding.com/menu-1	C:/My%20Web%20Sites/weld%20site/nyccertifiedwelding.com/menu-1.html	(from http://nyccertifiedwelding.com/)
08:54:35	26621/26621	---M-Z	200	added ('OK')	text/html	etag:W/%2261e15f4af108d1f5b0ed73da960d370a--gzip%22	http://nyccertifiedwelding.com/menu	C:/My%20Web%20Sites/weld%20site/nyccertifiedwelding.com/menu.html	(from http://nyccertifiedwelding.com/)
08:54:35	131197/131197	---M-Z	200	added ('OK')	text/javascript	etag:%228820464a0265e032f9430ddd0899aeaa%22	http://assets.squarespace.com/universal/scripts-compressed/performance-99cbf2b7ae19fdfe882af-min.en-US.js	C:/My%20Web%20Sites/weld%20site/assets.squarespace.com/universal/scripts-compressed/performance-99cbf2b7ae19fdfe882af-min.en-US.js	(from http://nyccertifiedwelding.com/)
08:54:36	27034/27034	---M-Z	200	added ('OK')	text/html	etag:W/%221b23e1d88c74e4e186330c9a312bec84--gzip%22	http://nyccertifiedwelding.com/liscenses	C:/My%20Web%20Sites/weld%20site/nyccertifiedwelding.com/liscenses.html	(from http://nyccertifiedwelding.com/)
08:54:36	26759/26759	---M-Z	200	added ('OK')	text/html	etag:W/%22d6a12e05873450d8d0b95e2582d67e42--gzip%22	http://nyccertifiedwelding.com/stainless-steel	C:/My%20Web%20Sites/weld%20site/nyccertifiedwelding.com/stainless-steel.html	(from http://nyccertifiedwelding.com/)
08:54:37	71834/71834	---M-Z	200	added ('OK')	text/html	etag:W/%22bd4a6568d0b7aa3f25cd9e19f709563f--gzip%22	http://nyccertifiedwelding.com/gallery	C:/My%20Web%20Sites/weld%20site/nyccertifiedwelding.com/gallery.html	(from http://nyccertifiedwelding.com/)
